Wireless Mouse	25000	Compact wireless mouse with silent clicks and USB receiver	Electronics,Office Supplies
Mechanical Keyboard	95000	Backlit mechanical keyboard with tactile switches	Electronics,Office Supplies
27 Inch Monitor	680000	Full HD IPS monitor for office and home use	Electronics,Office Supplies
USB-C Hub	45000	Multiport hub with HDMI, USB, and card reader	Electronics,Office Supplies
Bluetooth Speaker	78000	Portable speaker with deep bass and long battery life	Electronics,Home Entertainment
Noise Cancelling Headphones	220000	Over-ear headphones with active noise cancellation	Electronics,Music
Smart Watch	165000	Fitness watch with heart rate and notification support	Electronics,Fashion
Power Bank 10000mAh	32000	High capacity power bank for daily mobile charging	Electronics,Travel
Laptop Stand	28000	Adjustable aluminum stand for better desk ergonomics	Office Supplies,Home Office
Desk Lamp	34000	LED desk lamp with adjustable brightness	Electronics,Office Supplies
Notebook Set	12000	Set of premium ruled notebooks for planning and notes	Office Supplies,Books
Gel Pen Pack	8000	Smooth writing gel pens in assorted colors	Office Supplies,Stationery
A4 Paper Ream	16000	500-sheet printer paper for everyday office printing	Office Supplies
Office Chair	185000	Ergonomic chair with breathable mesh back	Home Office,Furniture
Standing Desk Mat	45000	Comfort mat for standing desks and long work sessions	Home Office,Furniture
Coffee Mug Set	26000	Set of ceramic mugs for home and office use	Kitchen,Home
Stainless Steel Water Bottle	24000	Double-wall insulated bottle for hot and cold drinks	Kitchen,Travel
Rice Cooker	135000	Family-size rice cooker with keep-warm function	Home Appliances,Kitchen
Blender	89000	Multi-speed blender for smoothies and sauces	Home Appliances,Kitchen
Air Fryer	245000	Oil-free cooker for crisp and healthy meals	Home Appliances,Kitchen
Microwave Oven	310000	Compact microwave oven for quick heating	Home Appliances,Kitchen
Vacuum Cleaner	275000	Corded vacuum cleaner with strong suction	Home Appliances,Home Cleaning
Electric Kettle	42000	Fast-boil kettle with auto shut-off safety	Home Appliances,Kitchen
Table Fan	52000	Three-speed table fan for everyday cooling	Home Appliances,Home
Smart Plug	22000	Wi-Fi smart plug for remote appliance control	Electronics,Home Automation
LED Bulb Pack	18000	Energy-saving bulb pack for rooms and hallways	Home Appliances,Home
T-Shirt	18000	Soft cotton t-shirt with relaxed fit	Fashion,Clothing
Jeans	48000	Classic denim jeans with regular fit	Fashion,Clothing
Running Shoes	125000	Lightweight shoes for training and daily wear	Fashion,Sports
Backpack	68000	Durable backpack with laptop sleeve	Fashion,Travel
Analog Watch	145000	Minimal analog wristwatch with leather strap	Fashion,Accessories
Sunglasses	36000	UV protection sunglasses with modern frame	Fashion,Accessories
Wallet	24000	Compact wallet with multiple card slots	Fashion,Accessories
Perfume	52000	Fresh fragrance for daily use	Beauty,Accessories
Face Wash	14000	Gentle cleanser for daily skincare routine	Beauty,Personal Care
Moisturizer	18000	Hydrating moisturizer for dry skin	Beauty,Personal Care
Shampoo	12000	Nourishing shampoo with mild fragrance	Beauty,Personal Care
Hair Dryer	65000	Compact hair dryer with two heat settings	Beauty,Home Appliances
Lip Balm Set	9000	Moisturizing lip balm set with natural oils	Beauty,Personal Care
Sofa Cover	58000	Stretchable cover to refresh living room furniture	Home,Furniture
Curtain Set	72000	Blackout curtain set for bedroom privacy	Home,Furniture
Bedsheet Set	49000	Soft bedsheet set with matching pillow covers	Home,Bedding
Pillow	22000	Supportive pillow for comfortable sleep	Home,Bedding
Table Clock	15000	Classic table clock with clear display	Home,Decor
Wall Frame Set	33000	Decorative frame set for family photos	Home,Decor
Indoor Plant Pot	27000	Ceramic pot for indoor plants and decor	Garden,Home
Garden Hose	56000	Flexible hose for watering the garden	Garden,Home Improvement
Hand Trowel	11000	Durable gardening trowel for planting	Garden,Home Improvement
Football	39000	Standard size football for practice and play	Sports,Outdoor
Yoga Mat	29000	Non-slip yoga mat for fitness and stretching	Sports,Health
